Numero,Fecha,Boleta,Tipo,Precio actual,Precio final,Estado
34,2004-09-20 13:31:02,1095712262,abt,0.543,21.75,Bajo
35,2004-10-23 22:48:08,1098596888,abt,0.543,20.44,Bajo
36,2005-01-25 12:44:11,1106685851,abt,0.508,23.31,Alto
37,2005-02-28 19:21:54,1109647314,abt,0.508,23.15,Bajo
38,2012-03-30 05:44:15,1333111455,abt,62.85,20.26,Alto
39,2013-08-18 07:12:45,1376835165,abt,35.38,13.95,Bajo
40,2011-08-11 20:49:00,1313120940,ace,27.7,8.52,Alto
41,2013-04-23 04:24:03,1366716243,ace,24.94,11.31,Alto
42,2013-05-16 15:08:57,1368742137,ace,27.94,11.84,Alto
43,2005-03-30 06:50:28,1112190628,aci,0.936,22.02,Alto
44,2011-08-18 01:16:41,1313655401,aci,118.77,20.59,Bajo
45,2004-12-10 06:26:24,1102688784,acn,0.023,21.49,Bajo
46,2005-02-10 03:10:56,1108033856,acn,0.023,21.0,Bajo
47,2005-04-04 05:07:40,1112616460,acn,0.023,20.12,Bajo
48,2011-09-01 16:51:37,1314921097,acn,0.11,17.02,Alto
49,2011-11-08 00:40:19,1320741619,acn,0.1,17.07,Alto
50,2012-02-29 00:47:01,1330505221,acn,0.15,16.81,Alto
51,2012-11-04 02:11:28,1352023888,acn,0.0,17.68,Alto
52,2013-04-23 04:45:22,1366717522,acn,0.0,17.47,Alto
53,2013-05-10 03:17:29,1368181049,acn,0.0,18.67,Alto
54,2004-08-21 23:10:00,1093155000,adbe,3.526,29.72,Alto
55,2004-11-12 17:19:37,1100308777,adbe,3.1,34.06,Alto
56,2005-02-07 16:20:07,1107822007,adbe,3.436,35.0,Alto
57,2005-04-05 04:12:22,1112699542,adbe,3.511,34.7,Alto
58,2011-04-24 04:02:44,1303642964,adbe,28.03,19.8,Bajo
59,2011-08-05 04:11:46,1312542706,adbe,28.17,14.01,Bajo
60,2011-10-18 13:47:26,1318970846,adbe,27.25,14.37,Bajo
61,2012-03-24 12:13:07,1332616387,adbe,25.26,21.69,Bajo
62,2012-07-02 04:31:22,1341228682,adbe,24.76,20.91,Bajo
63,2004-05-12 18:46:27,1084412787,adi,6.053,49.06,Bajo
64,2004-06-22 09:09:13,1087920553,adi,5.778,40.35,Bajo
65,2004-08-10 02:07:28,1092128848,adi,5.778,32.19,Bajo
66,2004-11-11 09:56:15,1100195775,adi,6.081,28.75,Bajo
67,2005-01-24 03:34:28,1106566468,adi,6.223,23.74,Bajo
68,2005-03-17 01:05:45,1111046745,adi,6.453,25.08,Bajo
69,2005-04-08 23:33:20,1113028400,adi,6.453,24.91,Bajo
70,2011-08-05 04:12:35,1312542755,adi,25.32,10.94,Bajo
71,2012-03-19 11:50:51,1332183051,adi,22.65,15.56,Bajo
72,2013-04-22 02:24:41,1366622681,adi,17.57,20.28,Bajo
73,2013-05-11 12:07:46,1368299266,adi,17.57,22.4,Bajo
74,2004-04-14 16:44:25,1081986265,adm,0.789,18.64,Alto
75,2004-06-19 13:33:48,1087677228,adm,0.848,15.2,Alto
76,2004-11-30 07:08:52,1101827332,adm,0.613,22.59,Alto
77,2005-01-26 00:58:06,1106729886,adm,0.613,24.1,Alto
78,2005-02-08 21:21:16,1107926476,adm,0.613,25.22,Alto
79,2005-02-14 20:39:46,1108442386,adm,0.528,22.73,Alto
80,2011-07-29 19:09:22,1311991762,adm,85.48,9.43,Alto
81,2011-08-05 04:13:27,1312542807,adm,85.48,8.64,Alto
82,2011-09-28 04:29:00,1317209340,adm,54.78,8.23,Alto
83,2011-12-31 04:39:51,1325335191,adm,51.59,8.76,Alto
84,2012-07-28 11:39:41,1343500781,adm,55.68,13.83,Alto
85,2013-06-07 17:17:34,1370650654,adm,46.71,17.53,Alto
86,2004-05-12 18:03:39,1084410219,adp,0.015,29.11,Bajo
87,2011-08-05 04:11:51,1312542711,adp,0.57,19.0,Bajo
88,2012-01-04 00:07:51,1325664471,adp,0.61,21.19,Alto
89,2012-04-20 21:07:33,1334981253,adp,0.58,20.31,Bajo
90,2012-07-26 00:02:28,1343286148,adp,0.27,19.95,Bajo
91,2013-02-06 18:15:11,1360203311,adp,7.29,21.34,Bajo
92,2013-04-23 04:13:36,1366715616,adp,0.46,22.85,Bajo
93,2013-04-26 14:37:22,1367012242,adp,0.46,23.2,Alto
94,2004-06-20 07:36:21,1087742181,adsk,1.614,31.62,Alto
95,2004-08-03 23:39:21,1091601561,adsk,1.614,32.07,Alto
96,2005-04-19 09:08:08,1113926888,adsk,1.637,35.49,Alto
97,2013-02-06 12:50:17,1360183817,adsk,5.45,36.85,Alto
98,2013-05-14 02:47:26,1368524846,adsk,36.49,36.36,Alto
99,2013-04-23 04:44:32,1366717472,adt,48.01,25.49,Bajo
100,2013-05-09 13:05:42,1368129942,adt,69.94,25.57,Bajo
101,2004-09-24 17:33:50,1096072430,aee,0.804,14.58,Bajo
102,2004-11-02 15:30:15,1099434615,aee,0.804,15.31,Alto
103,2005-03-05 21:55:16,1110088516,aee,0.974,18.34,Alto
104,2012-04-23 16:14:50,1335222890,aee,86.81,14.63,Bajo
105,2005-04-04 22:37:45,1112679465,aep,1.435,11.93,Alto
106,2011-04-08 04:53:43,1302263623,aep,136.63,14.02,Bajo
107,2012-07-27 00:36:41,1343374601,aep,123.75,10.25,Alto
108,2013-04-25 05:13:54,1366892034,aep,126.19,19.59,Alto
109,2012-12-19 21:05:07,1355979907,aet,43.0,8.8,Bajo
110,2013-06-05 05:12:09,1370434329,aet,63.37,12.26,Bajo
111,2011-12-30 09:10:57,1325265057,afl,33.03,10.98,Alto
112,2012-07-17 03:10:14,1342519814,afl,30.49,8.59,Bajo
113,2004-08-10 02:33:38,1092130418,agn,0.637,59.2,Bajo
114,2004-11-02 14:09:49,1099429789,agn,0.637,55.86,Bajo
115,2005-03-10 01:40:57,1110447657,agn,0.522,26.6,Bajo
116,2012-08-22 22:58:41,1345701521,agn,28.52,25.05,Bajo
117,2013-04-22 02:49:52,1366624192,agn,26.63,31.77,Bajo
118,2013-05-12 05:08:18,1368360498,agn,40.37,36.17,Bajo
119,2013-05-14 20:29:12,1368588552,aiv,397.17,47.09,Bajo
120,2013-04-22 18:49:03,1366681743,aiz,20.58,8.24,Alto
121,2011-05-05 15:24:18,1304634258,all,30.87,13.71,Bajo
122,2011-07-14 00:16:09,1310627769,all,30.87,12.17,Bajo
123,2012-03-11 04:48:46,1331466526,all,33.86,20.97,Bajo
124,2013-05-09 08:24:15,1368113055,all,31.8,10.79,Bajo
125,2004-06-22 11:22:40,1087928560,altr,3.203,42.58,Bajo
126,2004-09-17 01:25:17,1095409517,altr,3.044,33.8,Bajo
127,2004-10-13 13:42:20,1097700140,altr,3.044,34.3,Alto
128,2004-12-09 07:30:24,1102606224,altr,3.22,32.46,Alto
129,2005-02-04 08:02:17,1107532937,altr,3.595,26.21,Bajo
130,2005-05-02 10:15:47,1115054147,altr,3.356,28.17,Alto
131,2012-03-09 05:22:40,1331299360,altr,16.7,15.92,Alto
132,2013-02-06 17:54:59,1360202099,altr,15.0,20.08,Alto
133,2013-06-02 09:56:44,1370192204,altr,14.49,19.08,Alto
134,2011-07-22 14:48:30,1311371310,alxn,7.24,104.06,Alto
135,2011-09-28 11:28:44,1317234524,alxn,0.22,109.28,Alto
136,2012-11-07 01:50:15,1352281815,alxn,8.6,79.93,Alto
137,2013-02-06 13:28:04,1360186084,alxn,8.6,84.35,Alto
138,2013-05-16 20:58:25,1368763105,alxn,7.13,69.88,Alto
139,2004-06-20 10:05:12,1087751112,amat,0.065,72.27,Bajo
140,2004-09-16 23:22:07,1095402127,amat,0.061,31.72,Bajo
141,2004-10-18 20:51:33,1098157893,amat,0.061,29.98,Bajo
142,2004-12-09 07:35:16,1102606516,amat,0.049,21.94,Bajo
143,2011-09-25 19:13:07,1317003187,amat,22.77,7.3,Bajo
144,2012-09-18 07:09:26,1347977366,amat,23.34,14.33,Bajo
145,2012-10-17 10:51:48,1350496308,amat,23.34,13.45,Bajo
146,2013-04-25 00:13:15,1366873995,amat,27.25,649.05,Bajo
147,2013-04-26 00:41:19,1366962079,amat,27.25,673.81,Bajo
148,2005-03-25 04:19:49,1111749589,amgn,0.259,32.86,Bajo
149,2005-04-03 20:54:40,1112586880,amgn,0.259,31.95,Bajo
150,2011-09-02 18:17:06,1315012626,amgn,54.38,11.37,Bajo
151,2011-11-03 07:54:04,1320332044,amgn,60.57,13.57,Bajo
152,2012-01-03 15:47:25,1325634445,amgn,60.57,16.01,Bajo
153,2012-06-10 01:02:37,1339315357,amgn,113.43,16.15,Bajo
154,2013-04-25 00:13:31,1366874011,amgn,139.19,19.01,Alto
155,2013-05-21 08:37:22,1369150642,amgn,122.58,17.3,Bajo
156,2011-10-09 04:44:07,1318160647,amp,80.07,8.55,Bajo
157,2013-04-22 01:29:35,1366619375,amp,96.49,15.62,Alto
158,2011-10-07 04:27:26,1317986846,amt,158.39,57.91,Alto
159,2012-07-06 19:09:53,1341626993,amt,203.24,53.74,Alto
160,2013-05-15 18:14:17,1368666857,amt,234.16,57.02,Alto
161,2004-09-17 02:01:15,1095411675,an,0.979,12.74,Bajo
162,2005-04-05 07:47:49,1112712469,an,0.781,12.89,Bajo
163,2005-05-28 13:14:24,1117311264,an,0.773,12.11,Bajo
164,2011-03-12 05:47:25,1299937645,an,154.65,23.49,Alto
165,2011-05-22 03:33:08,1306060388,an,139.76,21.17,Alto
166,2011-06-04 10:52:17,1307209937,an,139.76,21.54,Alto
167,2011-06-22 11:44:19,1308768259,an,139.76,22.15,Alto
168,2011-06-29 09:02:27,1309363347,an,139.76,23.3,Alto
169,2011-08-16 15:42:33,1313534553,an,147.35,20.15,Alto
170,2012-07-28 07:42:49,1343486569,an,271.59,18.68,Alto
171,2013-05-14 09:51:37,1368550297,an,251.78,17.36,Alto
172,2004-04-11 04:03:14,1081681394,anf,2.688,16.11,Alto
173,2004-06-07 20:30:50,1086665450,anf,2.688,17.91,Alto
174,2004-08-10 03:04:16,1092132256,anf,2.946,15.77,Alto
175,2004-10-12 05:47:19,1097585239,anf,2.617,16.84,Alto
176,2005-01-28 05:22:27,1106918547,anf,1.958,23.41,Alto
177,2005-02-27 08:07:02,1109520422,anf,1.597,23.7,Alto
178,2011-10-23 13:43:24,1319402604,anf,1.39,31.62,Alto
179,2011-11-15 05:16:26,1321362986,anf,1.39,25.99,Alto
180,2011-12-27 06:24:14,1324995854,anf,1.36,21.8,Alto
181,2012-06-10 08:21:25,1339341685,anf,3.88,27.03,Bajo
182,2012-10-14 07:23:23,1350224603,anf,8.13,31.85,Bajo
183,2012-11-07 15:11:00,1352329860,anf,8.13,32.99,Bajo
184,2004-09-23 14:25:10,1095974710,ann,3.412,15.04,Bajo
185,2004-10-13 23:19:29,1097734769,ann,3.412,13.03,Bajo
186,2005-02-07 11:27:26,1107804446,ann,3.2,15.54,Bajo
187,2005-04-19 08:16:27,1113923787,ann,2.41,28.77,Bajo
188,2013-05-12 20:09:23,1368414563,ann,0.14,14.66,Bajo
189,2011-08-18 09:21:16,1313684476,aon,53.53,17.41,Bajo
190,2011-12-21 15:02:05,1324508525,aon,55.3,16.98,Bajo
191,2011-12-28 18:42:02,1325126522,aon,55.3,17.27,Bajo
192,2012-01-28 05:43:21,1327758201,aon,55.3,17.72,Bajo
193,2012-01-28 14:58:47,1327791527,aon,55.3,17.72,Bajo
194,2004-05-12 19:41:03,1084416063,apa,0.319,11.64,Bajo
195,2004-09-19 14:30:16,1095629416,apa,0.301,12.51,Alto
196,2004-10-27 04:46:49,1098877609,apa,0.301,14.09,Alto
197,2011-12-30 22:31:04,1325313064,apa,25.81,8.81,Alto
198,2012-06-07 09:06:44,1339085204,apa,26.5,7.88,Alto
199,2013-04-23 05:22:32,1366719752,apa,39.4,14.07,Alto
200,2013-05-10 03:19:15,1368181155,apa,39.4,16.56,Alto
201,2005-01-23 01:45:43,1106473543,apc,0.475,10.85,Alto
202,2005-03-06 05:42:18,1110116538,apc,0.395,12.78,Alto
203,2011-05-13 21:22:08,1305346928,apc,60.68,141.34,Alto
204,2013-05-16 15:24:29,1368743069,apc,66.12,64.61,Alto
205,2004-04-11 04:17:28,1081682248,apd,0.646,28.63,Bajo
206,2004-09-30 16:49:17,1096588157,apd,0.579,21.76,Alto
207,2004-11-29 02:19:46,1101723586,apd,0.579,22.8,Alto
208,2005-03-15 11:14:35,1110910475,apd,0.541,23.13,Alto
209,2011-07-21 11:46:56,1311274016,apd,72.72,18.67,Alto
210,2012-11-06 21:25:11,1352265911,apd,75.54,14.65,Alto
211,2013-05-15 13:09:58,1368648598,apd,86.63,16.41,Alto
212,2004-05-21 16:30:26,1085182226,aph,1.476,23.83,Bajo
213,2005-01-22 01:12:56,1106385176,aph,1.088,20.64,Bajo
214,2005-03-06 06:27:14,1110119234,aph,0.932,21.92,Bajo
215,2013-05-12 15:28:10,1368397690,aph,67.07,22.55,Bajo
216,2004-11-23 18:50:38,1101264638,apol,0.034,98.53,Bajo
217,2005-01-26 07:59:07,1106755147,apol,1.589,85.34,Alto
218,2005-02-20 17:17:18,1108948638,apol,1.589,83.27,Bajo
219,2005-03-08 20:47:43,1110343663,apol,1.589,84.04,Bajo
220,2005-04-13 19:34:15,1113446055,apol,1.482,73.45,Bajo
221,2005-05-27 09:09:06,1117210146,apol,1.482,76.2,Alto
222,2013-02-06 13:12:36,1360185156,apol,9.59,5.7,Bajo
223,2013-04-22 02:44:26,1366623866,apol,8.8,5.55,Bajo
224,2013-05-11 13:55:35,1368305735,apol,8.8,6.01,Bajo
225,2013-04-23 04:48:02,1366717682,arg,128.28,22.12,Alto
226,2013-05-09 12:21:27,1368127287,arg,169.67,22.68,Alto
227,2004-08-10 05:04:43,1092139483,aro,2.996,29.01,Bajo
228,2005-01-24 16:39:03,1106613543,aro,2.36,19.89,Bajo
229,2005-04-05 08:05:12,1112713512,aro,2.881,21.82,Alto
230,2011-11-08 00:58:58,1320742738,ati,57.31,26.38,Alto
231,2011-12-29 01:38:25,1325151505,ati,57.31,25.15,Alto
232,2012-02-28 21:23:56,1330493036,ati,58.58,22.27,Alto
233,2012-09-18 18:14:10,1348017250,ati,56.12,18.31,Alto
234,2013-05-14 22:40:19,1368596419,ati,56.96,28.16,Alto
235,2004-06-22 14:13:06,1087938786,atvi,5.966,28.17,Alto
236,2004-08-27 19:14:54,1093659294,atvi,6.339,25.27,Alto
237,2004-09-25 10:50:03,1096134603,atvi,6.339,23.3,Bajo
238,2004-10-13 12:41:21,1097696481,atvi,6.339,22.25,Bajo
239,2004-10-14 00:45:07,1097739907,atvi,6.339,22.16,Bajo
240,2005-02-20 04:31:33,1108902693,atvi,3.893,23.56,Alto
241,2005-04-19 16:14:47,1113952487,atvi,3.893,22.39,Alto
242,2013-04-22 08:22:31,1366644151,avb,56.76,30.77,Alto
243,2004-07-08 15:19:01,1089325141,avp,2.701,31.02,Bajo
244,2004-09-18 00:02:40,1095490960,avp,1.842,26.75,Bajo
245,2004-11-01 17:43:32,1099356212,avp,1.842,23.28,Bajo
246,2005-02-07 01:59:01,1107770341,avp,0.966,25.45,Bajo
247,2005-03-24 10:06:14,1111683974,avp,0.966,23.65,Bajo
248,2005-04-16 07:45:45,1113662745,avp,0.966,23.09,Bajo
249,2012-01-23 10:18:25,1327342705,avp,176.3,10.92,Bajo
250,2012-07-28 11:38:00,1343500680,avp,205.19,17.79,Bajo
251,2004-08-25 17:02:24,1093478544,avy,0.914,27.18,Alto
252,2005-01-22 21:17:05,1106457425,avy,0.882,24.54,Bajo
253,2005-03-07 00:26:28,1110183988,avy,0.782,21.78,Alto
254,2005-04-05 11:01:31,1112724091,avy,0.782,22.09,Alto
255,2011-04-29 07:55:47,1304088947,avy,81.25,14.31,Bajo
256,2013-04-25 05:03:00,1366891380,avy,77.32,20.34,Bajo
257,2005-05-11 16:27:52,1115854072,azo,4.942,12.25,Bajo
258,2004-06-22 15:13:31,1087942411,ba,1.583,22.43,Alto
259,2004-08-10 05:47:42,1092142062,ba,1.526,15.43,Alto
260,2004-10-13 12:14:23,1097694863,ba,1.526,15.94,Alto
261,2004-12-10 14:13:37,1102716817,ba,1.296,15.61,Alto
262,2005-01-21 23:14:29,1106378069,ba,1.296,14.8,Alto
263,2005-02-16 09:43:00,1108575780,ba,1.081,24.28,Alto
264,2005-02-20 13:24:01,1108934641,ba,1.081,23.54,Alto
265,2005-04-04 05:06:47,1112616407,ba,1.081,26.22,Alto
266,2011-04-27 03:12:55,1303899175,ba,434.0,16.96,Alto
267,2011-09-27 03:01:23,1317117683,ba,241.05,13.11,Alto
268,2011-11-07 22:29:08,1320733748,ba,204.26,13.12,Alto
269,2011-12-25 18:59:06,1324868346,ba,204.26,14.64,Alto
270,2012-01-08 12:20:26,1326054026,ba,204.26,14.64,Alto
271,2012-04-27 11:01:28,1335549688,ba,342.88,14.42,Alto
272,2012-06-28 06:51:02,1340891462,ba,227.03,12.45,Alto
273,2012-07-13 11:00:04,1342202404,ba,227.03,12.42,Alto
274,2012-09-22 14:17:19,1348348639,ba,190.11,12.1,Alto
275,2013-04-26 01:20:15,1366964415,ba,174.44,17.95,Alto
276,2004-05-11 20:35:29,1084332929,bax,1.36,21.48,Alto
277,2004-12-16 23:06:18,1103267178,bax,1.245,31.57,Bajo
278,2005-04-12 22:31:24,1113370284,bax,1.159,56.66,Alto
279,2011-12-23 01:38:47,1324633127,bax,63.28,13.17,Alto
280,2011-12-30 01:30:48,1325237448,bax,63.28,13.18,Alto
281,2012-06-30 15:50:01,1341096601,bax,74.9,13.49,Alto
282,2013-05-08 17:56:59,1368061019,bax,83.8,17.17,Alto
283,2004-09-25 23:54:45,1096181685,bbby,2.627,25.66,Bajo
284,2004-10-20 01:55:57,1098262557,bbby,0.031,26.53,Bajo
285,2005-03-19 12:23:51,1111260231,bbby,0.031,23.7,Bajo
286,2005-04-05 13:37:06,1112733426,bbby,0.031,24.22,Bajo
287,2004-06-20 06:49:03,1087739343,bby,0.243,20.09,Bajo
288,2004-08-10 06:03:54,1092143034,bby,0.243,17.47,Bajo
289,2004-12-15 01:43:52,1103103832,bby,0.136,21.6,Alto
290,2005-03-07 11:28:46,1110223726,bby,0.123,33.38,Bajo
291,2005-04-04 17:33:47,1112661227,bby,0.135,17.88,Bajo
292,2011-09-02 09:33:16,1314981196,bby,30.91,8.0,Bajo
293,2011-11-02 05:30:59,1320237059,bby,37.18,8.68,Bajo
294,2012-01-01 23:06:13,1325487973,bby,35.71,8.06,Bajo
295,2012-01-06 07:32:16,1325863936,bby,35.71,8.09,Bajo
296,2012-03-08 21:07:35,1331269655,bby,35.71,8.48,Bajo
297,2004-07-17 18:52:59,1090115579,bcr,0.133,29.58,Bajo
298,2004-10-23 05:47:58,1098535678,bcr,0.178,28.96,Bajo
299,2005-01-26 09:55:46,1106762146,bcr,0.119,27.29,Bajo
300,2005-03-22 01:38:49,1111480729,bcr,0.111,24.03,Bajo
301,2012-06-10 08:25:31,1339341931,bcr,66.2,26.32,Bajo
302,2012-11-06 16:15:18,1352247318,bcr,68.13,16.4,Bajo
303,2013-04-22 01:23:08,1366618988,bcr,73.2,16.16,Bajo
304,2013-05-21 14:44:03,1369172643,bcr,74.19,19.02,Bajo
305,2004-10-24 20:51:27,1098676287,bdx,0.375,23.68,Alto
306,2011-09-06 06:11:03,1315314663,bdx,51.43,13.2,Alto
307,2012-01-10 22:05:52,1326261952,bdx,56.33,13.21,Alto
308,2012-07-28 09:56:10,1343494570,bdx,93.17,13.84,Alto
309,2013-04-22 01:26:50,1366619210,bdx,93.3,12.64,Alto
310,2013-06-08 07:41:31,1370702491,bdx,90.86,13.14,Alto
311,2012-01-09 17:29:42,1326158982,beam,43.37,8.79,Bajo
312,2012-01-11 05:53:41,1326290021,beam,43.37,8.84,Bajo
313,2012-01-12 14:14:46,1326406486,beam,43.37,8.86,Bajo
314,2012-01-28 06:09:43,1327759783,beam,43.37,9.11,Bajo
315,2012-01-28 15:17:58,1327792678,beam,43.37,9.11,Bajo
316,2013-05-23 18:30:59,1369359059,beam,47.34,26.0,Alto
317,2004-04-27 13:37:20,1083098240,ben,0.283,22.35,Alto
318,2004-09-24 17:33:53,1096072433,ben,0.274,20.71,Alto
319,2004-10-23 05:48:02,1098535682,ben,0.274,21.63,Alto
320,2005-03-26 16:30:52,1111879852,ben,0.26,22.71,Alto
321,2012-08-22 08:22:30,1345648950,ben,20.85,13.82,Alto
322,2013-04-25 00:19:14,1366874354,ben,25.65,16.63,Alto
323,2013-04-25 14:42:50,1366926170,ben,25.65,16.76,Alto
324,2004-08-16 22:53:31,1092722011,bhi,0.376,50.8,Alto
325,2004-11-23 09:52:37,1101232357,bhi,0.306,32.1,Alto
326,2004-12-16 17:56:49,1103248609,bhi,0.306,31.65,Alto
327,2005-02-07 15:53:38,1107820418,bhi,0.306,32.24,Alto
328,2005-04-19 11:07:00,1113934020,bhi,0.298,27.96,Alto
329,2011-08-08 06:06:06,1312808766,bhi,23.75,21.46,Alto
330,2011-10-23 20:41:39,1319427699,bhi,23.75,18.12,Alto
331,2011-12-23 11:42:42,1324669362,bhi,24.74,12.37,Alto
332,2011-12-29 08:21:19,1325175679,bhi,24.74,11.9,Alto
333,2012-02-27 21:17:26,1330406246,bhi,25.49,12.74,Alto
334,2012-05-01 19:35:49,1335926149,bhi,27.58,11.39,Alto
335,2012-10-25 01:20:18,1351153218,bhi,30.14,13.32,Bajo
336,2013-02-03 03:21:02,1359890462,bhi,28.47,15.17,Bajo
337,2013-04-22 02:10:40,1366621840,bhi,29.23,16.08,Bajo
338,2013-05-11 09:33:28,1368290008,bhi,29.23,17.28,Bajo
339,2011-12-27 19:20:40,1325042440,big,38.0,13.61,Alto
340,2012-08-28 01:36:39,1346142999,big,35.19,10.84,Alto
341,2013-05-12 20:12:09,1368414729,big,22.58,12.87,Alto
342,2005-04-08 02:19:07,1112951947,biib,0.125,562.0,Bajo
343,2011-05-01 05:34:17,1304253257,biib,21.16,22.42,Alto
344,2011-07-21 23:24:05,1311315845,biib,21.16,24.25,Alto
345,2011-07-29 20:58:27,1311998307,biib,21.16,23.39,Alto
346,2012-07-28 06:31:16,1343482276,biib,17.46,27.09,Alto
347,2012-11-04 05:09:25,1352034565,biib,16.69,24.05,Alto
348,2013-04-23 06:46:33,1366724793,biib,16.38,37.36,Alto
349,2013-05-13 12:50:10,1368474610,biib,12.47,33.83,Alto
350,2013-09-02 02:25:17,1378113917,biib,9.23,31.55,Alto
351,2004-12-14 03:38:28,1103024308,bks,0.185,15.15,Bajo
352,2005-03-31 23:13:15,1112335995,bks,0.21,20.29,Alto
353,2012-03-28 00:07:29,1332918449,blk,107.57,16.46,Alto
354,2012-06-30 08:38:59,1341070739,blk,112.01,13.44,Alto
355,2004-10-27 11:16:08,1098900968,bll,1.953,16.37,Bajo
356,2004-12-09 07:01:42,1102604502,bll,1.633,16.94,Alto
357,2005-02-05 01:20:07,1107595207,bll,1.528,16.9,Alto
358,2005-03-24 10:06:18,1111683978,bll,1.528,17.17,Alto
359,2005-04-20 00:57:00,1113983820,bll,1.528,15.32,Alto
360,2011-02-23 07:46:07,1298475967,bll,169.61,14.04,Bajo
361,2013-04-23 03:19:08,1366712348,bll,256.21,18.31,Bajo
362,2013-05-08 23:56:26,1368082586,bll,304.64,18.3,Bajo
363,2004-08-10 11:54:39,1092164079,bmc,1.609,104.6,Bajo
364,2004-12-05 09:19:11,1102267151,bmc,1.105,267.71,Alto
365,2005-04-04 23:11:53,1112681513,bmc,1.147,35.48,Bajo
366,2011-07-31 00:38:37,1312097917,bmc,21.63,17.29,Alto
367,2011-11-15 18:42:04,1321411324,bmc,23.6,15.25,Alto
368,2013-02-06 14:21:46,1360189306,bmc,197.47,20.46,Alto
369,2013-05-16 09:37:41,1368722261,bmc,160.84,21.34,Alto
370,2004-05-29 17:15:50,1085876150,bms,0.49,19.19,Bajo
371,2005-01-25 21:17:38,1106716658,bms,0.472,18.29,Alto
372,2005-05-27 22:21:16,1117257676,bms,0.648,17.49,Bajo
373,2011-07-18 03:22:09,1310984529,bms,73.35,16.75,Alto
374,2011-07-19 06:44:03,1311083043,bms,73.35,16.5,Alto
375,2013-04-23 03:50:53,1366714253,bms,86.93,24.27,Alto
376,2013-05-09 03:14:02,1368094442,bms,95.11,23.18,Bajo
377,2004-05-04 11:48:00,1083696480,bmy,0.884,15.27,Bajo
378,2004-09-24 11:39:26,1096051166,bmy,0.9,16.18,Bajo
379,2004-10-27 23:09:25,1098943765,bmy,0.9,16.22,Bajo
380,2011-09-30 00:18:51,1317367131,bmy,34.22,16.13,Alto
381,2011-12-04 01:29:01,1322990941,bmy,34.19,16.9,Alto
382,2012-06-27 02:35:05,1340789705,bmy,33.33,15.49,Alto
383,2012-06-29 03:34:55,1340966095,bmy,33.33,15.74,Alto
384,2013-03-11 19:39:05,1363055945,bmy,54.22,32.35,Alto
385,2013-04-22 01:17:53,1366618673,bmy,54.22,35.47,Alto
386,2013-05-09 07:06:47,1368108407,bmy,57.63,44.94,Alto
387,2011-12-23 17:38:47,1324690727,brcm,11.32,17.99,Bajo
388,2012-02-24 05:13:09,1330089189,brcm,18.34,22.42,Bajo
389,2012-05-29 12:47:25,1338320845,brcm,17.38,22.69,Bajo
